
=== Graded Price Audit — 2026-08-19T16:38:05.718Z ===
Cards: 5   Grade combos: 14   Total calls: 70
Pacing: 1200ms between calls


─── Charizard Base Set (high volume) ───
[1/70] Charizard Base Set (high volume)       · Raw (ungraded)         → 0 comps, $— (insufficient)
[28/70] Pikachu Illustrator (extreme rarity)   · SGC 9 (Mint)           → 0 comps, $— (insufficient)

─── Umbreon VMAX Alt Art (modern chase) ───
[29/70] Umbreon VMAX Alt Art (modern chase)    · Raw (ungraded)         → 0 comps, $— (insufficient)
[30/70] Umbreon VMAX Alt Art (modern chase)    · PSA 10                 → 0 comps, $— (insufficient)
[31/70] Umbreon VMAX Alt Art (modern chase)    · PSA 9                  → 0 comps, $— (insufficient)
[32/70] Umbreon VMAX Alt Art (modern chase)    · PSA 8                  → 0 comps, $— (insufficient)
[33/70] Umbreon VMAX Alt Art (modern chase)    · PSA 7                  → 0 comps, $— (insufficient)
[34/70] Umbreon VMAX Alt Art (modern chase)    · PSA 5                  → 0 comps, $— (insufficient)
[35/70] Umbreon VMAX Alt Art (modern chase)    · BGS 10 (Pristine)      → 0 comps, $— (insufficient)
[36/70] Umbreon VMAX Alt Art (modern chase)    · BGS 9.5 (Gem Mint)     → 0 comps, $— (insufficient)
[37/70] Umbreon VMAX Alt Art (modern chase)    · BGS 9 (Mint)           → 0 comps, $— (insufficient)
[38/70] Umbreon VMAX Alt Art (modern chase)    · CGC 10 (Pristine)      → 0 comps, $— (insufficient)
[39/70] Umbreon VMAX Alt Art (modern chase)    · CGC 9.5 (Gem Mint)     → 0 comps, $— (insufficient)
[40/70] Umbreon VMAX Alt Art (modern chase)    · CGC 9 (Mint)           → 0 comps, $— (insufficient)
[41/70] Umbreon VMAX Alt Art (modern chase)    · SGC 10 (Gem Mint)      → 0 comps, $— (insufficient)
[42/70] Umbreon VMAX Alt Art (modern chase)    · SGC 9 (Mint)           → 0 comps, $— (insufficient)

─── MJ 1986 Fleer RC (sports) ───
[43/70] MJ 1986 Fleer RC (sports)              · Raw (ungraded)         → 0 comps, $— (insufficient)
[44/70] MJ 1986 Fleer RC (sports)              · PSA 10                 → 0 comps, $— (insufficient)
[45/70] MJ 1986 Fleer RC (sports)              · PSA 9                  → 0 comps, $— (insufficient)
[46/70] MJ 1986 Fleer RC (sports)              · PSA 8                  → 0 comps, $— (insufficient)
[47/70] MJ 1986 Fleer RC (sports)              · PSA 7                  → 0 comps, $— (insufficient)
[48/70] MJ 1986 Fleer RC (sports)              · PSA 5                  → 0 comps, $— (insufficient)
[49/70] MJ 1986 Fleer RC (sports)              · BGS 10 (Pristine)      → 0 comps, $— (insufficient)
[50/70] MJ 1986 Fleer RC (sports)              · BGS 9.5 (Gem Mint)     → 0 comps, $— (insufficient)
[51/70] MJ 1986 Fleer RC (sports)              · BGS 9 (Mint)           → 0 comps, $— (insufficient)
[52/70] MJ 1986 Fleer RC (sports)              · CGC 10 (Pristine)      → 0 comps, $— (insufficient)
[53/70] MJ 1986 Fleer RC (sports)              · CGC 9.5 (Gem Mint)     → 0 comps, $— (insufficient)
[54/70] MJ 1986 Fleer RC (sports)              · CGC 9 (Mint)           → 0 comps, $— (insufficient)
[55/70] MJ 1986 Fleer RC (sports)              · SGC 10 (Gem Mint)      → 0 comps, $— (insufficient)
[56/70] MJ 1986 Fleer RC (sports)              · SGC 9 (Mint)           → 0 comps, $— (insufficient)

─── Mew ex 232 (recent moderate) ───
[57/70] Mew ex 232 (recent moderate)           · Raw (ungraded)         → 0 comps, $— (insufficient)
[58/70] Mew ex 232 (recent moderate)           · PSA 10                 → 0 comps, $— (insufficient)
[59/70] Mew ex 232 (recent moderate)           · PSA 9                  → 0 comps, $— (insufficient)
[60/70] Mew ex 232 (recent moderate)           · PSA 8                  → 0 comps, $— (insufficient)
[61/70] Mew ex 232 (recent moderate)           · PSA 7                  → 0 comps, $— (insufficient)
[62/70] Mew ex 232 (recent moderate)           · PSA 5                  → 0 comps, $— (insufficient)
[63/70] Mew ex 232 (recent moderate)           · BGS 10 (Pristine)      → 0 comps, $— (insufficient)
[64/70] Mew ex 232 (recent moderate)           · BGS 9.5 (Gem Mint)     → 0 comps, $— (insufficient)
[65/70] Mew ex 232 (recent moderate)           · BGS 9 (Mint)           → 0 comps, $— (insufficient)
[66/70] Mew ex 232 (recent moderate)           · CGC 10 (Pristine)      → 0 comps, $— (insufficient)
[67/70] Mew ex 232 (recent moderate)           · CGC 9.5 (Gem Mint)     → 0 comps, $— (insufficient)
[68/70] Mew ex 232 (recent moderate)           · CGC 9 (Mint)           → 0 comps, $— (insufficient)
[69/70] Mew ex 232 (recent moderate)           · SGC 10 (Gem Mint)      → 0 comps, $— (insufficient)
[70/70] Mew ex 232 (recent moderate)           · SGC 9 (Mint)           → 0 comps, $— (insufficient)


✓ Raw data saved to qa/graded_price_audit_raw.json (70 records)
